word,weight
berpengetahuan,4
berperingkat,4
berpola,4
berpunya,4
bersagang,4
bersaji,4
bersambang,4
bersangga,4
bersauh,4
bersayap,4
bersemangat,4
bersemayam,4
bersenandung,4
bersendel,4
bersendeng,4
bersender,4
berseni,4
berseri,4
bersimpati,4
bersinar,4
bersitegang,4
berstatus,4
bersumber,4
bersungguh-sungguh,4
bertahan,4
bertakwa,4
bertanya-tanya,4
berteguh hati,4
bertekun,4
bertelinga merah,4
bertepat guna,4
bertumpuk,4
beruntung,4
berzikir,4
besar,4
besar akal,4
bestari,4
betapa,4
bianglala,4
bingkis,4
bingkisan,4
birthday,4
bisikan,4
bismillah,4
bolehan,4
bonus,4
bubuh,4
budak,4
budiman,4
bugar,4
bujang,4
bukan main,4
bungkusan,4
buyung,4
cantum,4
capai,4
capaian,4
cari ilmu,4
catu,4
cegar,4
cekel,4
cemerlang,4
cendera,4
cendera mata,4
ceri,4
ceria,4
cindur mata,4
cintai,4
cintaku,4
cocok,4
cokol,4
comel,4
cublik,4
cuma-cuma,4
cumil,4
damar,4
dana,4
dandan,4
darah,4
daulat,4
daya cipta,4
daya gabung,4
daya guna,4
defensif,4
desain,4
desakan,4
digdaya,4
dingin,4
distingtif,4
doa,4
dok,4
drastis,4
duka,4
dukung,4
dukungan,4
duli,4
efisien,4
eksklusif,4
eksplorasi,4
elegan,4
emir,4
enteng,4
estetik,4
estetis,4
faal,4
faedah,4
favorite,4
fertil,4
fit,4
fusi,4
gajak,4
gali ilmu,4
gampang,4
gangsar,4
gani,4
ganjil,4
ganteng,4
gebyar,4
geger,4
gemas,4
gemirang,4
gempa,4
gempa bumi,4
gempar,4
gempita,4
gengsi,4
genial,4
gerak hati,4
gerak-gerik,4
gerakan,4
gratis,4
gres,4
gudi,4
gusti,4
gutuk,4
hadiah,4
hakimah,4
hallo,4
hangat,4
hayo,4
heban,4
hemat,4
heran,4
hibah,4
hilir,4
hiruk-pikuk,4
ibadah,4
ibadat,4
idiosinkratis,4
ihsan,4
ikhlas,4
iktifak,4
ikutan,4
ilmu,4
imut-imut,4
inayat,4
indah ambang,4
individual,4
infak,4
ingat-ingat,4
inovasi,4
insinye,4
interes,4
intrik,4
inventif,4
inventivitas,4
irama,4
islam,4
itifak,4
jasa,4
jaya,4
jeli,4
jempol,4
jempolan,4
jenang,4
jernih,4
jibilah,4
jujur,4
kaci,4
kaisar,4
kaji,4
kajian,4
kaki tangan,4
kalem,4
kalis,4
kandis,4
kanjang,4
kanjeng sultan,4
karib,4
karimah,4
karunia,4
kasatmata,4
kasihan,4
keampuhan,4
kebahagiaan,4
kebaikan,4
kebajikan,4
keberuntungan,4
kebesaran,4
kebisaan,4
kebutuhan,4
kecepatan,4
kecerdikan,4
kedai susu,4
keenakan,4
kegagahan,4
kegembiraan,4
kegirangan keceriaan,4
kegunaan,4
kehangatan,4
kejayaan,4
kekaguman,4
kekeluargaan,4
kelajuan,4
kelezatan,4
kelih,4
kelimpahan,4
keluarga,4
kemahiran,4
kemampuan,4
kemantapan,4
kemaslahatan,4
kemasyhuran,4
kemegahan,4
kemurahan,4
kenduri,4
kenikmatan,4
kenyamanan,4
kepandaian,4
kepedulian,4
kepesatan,4
kepiawaian,4
kepintaran,4
keputusan,4
keriangan,4
kerja sama,4
kesal,4
kesebatan,4
keseimbangan,4
kesemarakan,4
kesima,4
kestabilan,4
kesufian,4
ketangkasan,4
ketawa,4
ketenteraman,4
keterikatan,4
ketertarikan,4
keuntungan,4
keurus,4
keurusan,4
khalis,4
khas,4
khasiat,4
khayalan,4
kias,4
kikir,4
kipu,4
kismat,4
klien,4
kodrat,4
kohesi,4
komplot,4
konco,4
konformitas,4
konspirasi,4
korek,4
kosen,4
kreatif,4
kreativitas,4
kroni,4
kuala,4
kualitas,4
kucur,4
kudus,4
kusuma,4
laba,4
labiovelar,4
lampu,4
lancar,4
langganan,4
langgeng,4
langkah,4
langkah baik,4
latih diri,4
lebai,4
lebih-lebih,4
legawa,4
legit,4
lektur,4
lelap,4
lentera,4
lestari,4
letih,4
licin,4
lila,4
lincah,4
lindu,4
lindung,4
lini,4
linu,4
lovers,4
luar biasa,4
luck,4
lugas,4
lugu,4
lurus,4
mabrur,4
maha,4
mahabah,4
mahfum,4
mahir,4
maimun,4
makasih,4
makmur,4
makruf,4
mama,4
mandraguna,4
manjur,4
mari,4
masyhur,4
mata gawai,4
maut,4
medali,4
melampas,4
melanyak,4
melatih diri,4
melecehkan,4
meletakkan,4
melicinkan,4
melipur,4
memahirkan,4
memang,4
memanjatkan doa,4
mematuhi,4
membaca,4
membahagiakan,4
membalas,4
membantu,4
membenang,4
membingkis,4
membubuhkan,4
memegang kitab,4
memeluk,4
memendam,4
mementingkan,4
meminda,4
memolakan,4
mempunyai,4
memuji-muji,4
memukau,4
memusingkan,4
menabung,4
menang,4
menarik,4
mencari ilmu,4
mencebikkan,4
mencemaskan,4
mencengangkan,4
mencintaimu,4
mencontoh,4
mencontohkan,4
mendaifkan,4
mendoa,4
mendusin,4
meneladan,4
menenangkan,4
mengabaikan,4
mengacau,4
mengagumkan,4
mengaji,4
mengakap,4
mengalem,4
mengalirkan darah,4
mengambil contoh,4
mengambil ibarat,4
mengangkat-angkat,4
menganut,4
mengasihani,4
mengecat,4
mengecilkan,4
mengeluarkan darah,4
mengentengkan,4
mengerikan,4
mengesankan,4
menggali ilmu,4
mengganggu,4
menggegerkan,4
menggemparkan,4
menggerecoki,4
menggirangkan melegakan,4
menghadiahi,4
menghebohkan,4
menghinakan,4
menghirukkan,4
menghukum,4
mengibai,4
mengimbuhkan,4
menginginkan,4
mengoles,4
mengotot,4
menguntir,4
menguntungkan,4
mengusili,4
meni,4
menikah,4
menimba,4
menimba ilmu,4
meniru,4
menistakan,4
menjahili,4
menolong,4
menongkat,4
menumbuk,4
menuntut ilmu,4
menurut,4
menyandar,4
menyanjung,4
menyanyi,4
menyapih,4
menyayang,4
menyayangi,4
menyenangkan,4
menyepelekan,4
menyerupai,4
menyukai,4
menyusahkan,4
meragam,4
merah,4
merahimi,4
meraun,4
merecoki,4
meremehkan,4
meributkan,4
meronda,4
meruncing,4
mesra,4
metah,4
mewarnai,4
minat,4
misbah,4
moral,4
muara,4
mudah,4
mufakat,4
muhibah,4
mujarab,4
mujur,4
muktamar,4
mulus,4
mulut sungai,4
mustajab,4
mustakim,4
mutakhir,4
naik daun,4
naik pelamin,4
naik pelaminan,4
nasabah,4
neces,4
necis,4
nian,4
nice,4
nirmala,4
nyali,4
nyaman,4
nyata,4
objektif,4
ok,4
okay,4
ovum,4
paduka,4
paduka Tuan,4
paheman,4
pakat,4
paket,4
panas,4
panas kuku,4
pandai,4
panggul,4
panil,4
panjat doa,4
paramarta,4
pasang,4
pasang hidup,4
pasangan hidup,4
patuh,4
paya,4
peduli,4
pelamin,4
pelaminan,4
pelanggan,4
pelangi,4
pelayan,4
pelit,4
pelita,4
pelupuk mata,4
pemajangan,4
pemantapan,4
pembaruan,4
pemenangnya,4
pemufakatan,4
penangkalan,4
penat,4
pencegahan,4
pendalaman,4
pendukung,4
penerang,4
pengapit,4
pengasih,4
pengetahuan,4
penggalian,4
penghargaan,4
peninggalan,4
penjenang,4
penolong,4
penyantun,4
perantaraan,4
percaya diri,4
percuma,4
perdeo,4
perduli,4
perembukan,4
perfek,4
perhatian,4
perkasa,4
perkomplotan,4
perpaduan,4
persahabatan,4
persekongkolan,4
persembahan,4
perserupaan,4
persesuaian,4
pertanda,4
pertolongan,4
perubahan,4
peruntungan,4
perwira,4
pesam,4
pesona,4
pesta,4
pestaka,4
petah lidah,4
petes,4
pinggul,4
porsi,4
positif,4
prabu,4
praktis,4
prawira,4
preseden,4
preventif,4
prigel,4
prima,4
primbon,4
prodeo,4
profit,4
profitabel,4
puadai,4
puja,4
puji,4
pukauan,4
pulas,4
punia,4
pusaka,4
puspa,4
pustaka,4
putus kata,4
rahayu,4
rajin,4
rana,4
rani,4
rawa,4
realistis,4
recok,4
regenerasi,4
rejeki,4
rekan,4
rekonsiliasi,4
remeh,4
renovasi,4
ria,4
ribut,4
riil,4
ringan tangan,4
rizki,4
roh,4
romantis,4
rotan,4
sahabat,4
saji,4
sakelek,4
salamat,4
salim,4
sambatan,4
sambung tangan,4
sambungan tangan,4
sangkil,4
santer,4
santun,4
sarju,4
saruk,4
satria,4
sebenarnya,4
sebetulnya,4
segar,4
sehat,4
selamatan,4
semangat,4
sembahyangan,4
sembir,4
sembuh,4
sempena hati,4
semringah,4
senyuman,4
sepakat,4
sepele,4
serapah,4
serasi,4
seraya,4
seringai,4
sesaji,4
sesungguhnya,4
setuju,4
setujuan,4
shalat,4
sibuk,4
sigap,4
silaturahim,4
simpat,4
sinuhun,4
sobat,4
sohor,4
solah,4
sorongan,4
sosial,4
special,4
spesial,4
spesialis,4
sput,4
sregep,4
Sri paduka,4
stabilitas,4
statis,4
studi,4
stupa,4
suam-suam kuku,4
suapan,4
suara halus,4
suasana,4
suci,4
suguhan,4
suka cita,4
sukar,4
sukarela,4
sumringah,4
sunan,4
sungguh,4
superior,4
support,4
suvenir,4
tahan lasak,4
tahu,4
tahu aturan,4
tajam,4
tajam otak,4
tajam pikiran,4
takjub,4
talenta,4
tanda jasa,4
tanda-tanda,4
taruh,4
tegang,4
teja,4
tekad,4
tekanan jiwa,4
tekanan mental,4
tekun,4
teladan,4
telaten,4
tepat guna,4
terampil,4
teranyar,4
teraso,4
teratur,4
terbaru,4
terbuka mata,4
tercinta,4
terdahulu,4
tergelak,4
tergeleng-geleng,4
terimaksih,4
terkesima,4
terlindung,4
termasyhur,4
terpelajar,4
terpelihara,4
terpesona,4
terpuji,4
tersaji,4
tersedia,4
tersendat,4
tersenyum,4
tertawa kecil,4
tertib,4
terurus,4
terus-menerus,4
terutama,4
thank,4
timba ilmu,4
timbalan,4
tinggalan,4
tip,4
tips,4
tokcer,4
tolakan,4
tq,4
transaksi,4
trauma,4
trimakasih,4
trims,4
tulus,4
tulus hati,4
tungkak,4
tuntut ilmu,4
ulung,4
uluran tangan,4
umi,4
umur,4
upa-,4
ura-ura,4
utas,4
wagu,4
wahyu,4
wangi,4
wasiat,4
wekel,4
welas,4
welcome,4
widita,4
wirid,4
ya,4
yahud,4
yamtuan,4
Yang Dipertuan,4
yg dipertuan,4
yuk,4
yukk,4
yuuk,4
zakelek,4
zakiah,4
zikir,4
(warna) dadu,3
ab,3
abah,3
abid,3
absorpsi,3
absurd,3
abu,3
adab,3
adakala,3
adiluhung,3
administrator,3
adzan,3
afair,3
afdal,3
afirmasi,3
Ahad,3
ajal,3
ajojing,3
akidah,3
akomodasi,3
akrab,3
akuan,3
album,3
alhamdulilah,3
ambilan,3
amerta,3
amin,3
ampas (kopi),3
amplop,3
anak Adam,3
anak didik,3
anak sasian,3
anak sekolah,3
andur,3
aneka,3
angan,3
anggapan,3
anggar,3
angkat,3
antisipasi,3
antusiasme,3
anugerah,3
arketipe,3
artian,3
artifisial,3
asa,3
asasi,3
asih,3
asoi,3
asosiasi,3
asrama,3
assalamualaikum,3
asuh,3
atasan,3
atom,3
autentik,3
aya,3
ayunan,3
babaran,3
babe,3
baca,3
bacot,3
baik,3
baik-baik,3
bain,3
balasan,3
banding,3
bangga,3
bangkit selera,3
bantalan,3
bantu,3
bantuin,3
banyak,3
banyak akal,3
banyaknya,3
banyolan,3
bapa,3
bapanda,3
bapang,3
bareng,3
batas (waktu),3
batasan,3
bausuku,3
bawaan,3
bayang-bayang,3
bayangan,3
bayangkara,3
beber,3
bedah,3
bedegap,3
bekal,3
belajar,3
belok,3
belukar,3
benak kepala,3
bener,3
beneran,3
bentukan,3
berakibat,3
beranak,3
berbagai,3
berbagai macam,3
berbenak,3
berbentuk,3
berbetulan,3
berbudi pekerti yang baik,3
berbunga,3
bercita rasa,3
bercokol,3
berdagang,3
berdansa,3
berdaya,3
berembuk,3
bergairah,3
bergigi,3
berguru,3
berharga,3
berhasil,3
berhasrat,3
berhati-hati,3
berikhtiar,3
beriman,3
berimbas,3
beristirahat,3
berjenis-jenis,3
berjihad,3
berjilbab,3
berjiwa,3
berkait,3
berkaitan,3
berkarya,3
berkecambah,3
berkeinginan,3
berkesesuaian,3
berkeyakinan,3
berkinte,3
berkuat,3
berlabuh,3
berlarasan,3
berlibat,3
berlilit,3
bermacam-macam,3
bermohon,3
bermutu,3
bernafsu,3
bernapaskan,3
bernyali besar,3
beroleh,3
berpacangan,3
berpacaran,3
berpamor,3
berpartisipasi,3
berpaut,3
berpendidikan,3
berpengaruh,3
berperang,3
berpilin,3
berpiuh,3
berprakarsa,3
berpulas,3
berputra,3
bersalin,3
bersama,3
bersamamu,3
bersaur,3
bersekolah,3
berselawat,3
berseluk,3
bersemi,3
bersesuaian,3
bersetuju,3
bersimpuh,3
bersulur,3
bertambatan,3
bertanduk,3
bertaraf,3
bertaruk,3
berteduh,3
bertenggang,3
bertepatan,3
bertransaksi,3
bertunangan,3
bertunas,3
bertundangan,3
bertuntun,3
beruntutan,3
berupaya,3
berusaha,3
berwibawa,3
besar hati,3
besar lengan,3
besar-besaran,3
biadab,3
biang keladi,3
bidasan,3
bijak,3
bikinan,3
bilhak,3
bimbing,3
binasa,3
bineka,3
binen,3
bisnis,3
bonafide,3
bos,3
buaian,3
buatan,3
budi pekerti yang baik,3
buka,3
bulang,3
bulat kata,3
bumbung,3
bunda,3
bunga,3
candrasa,3
candu,3
cantrik,3
caplok,3
cebak,3
cedok,3
celengan,3
cempiang,3
cenangkas,3
cendekia,3
cengkauan,3
cepat,3
cerapan,3
cermin,3
cerminan,3
chat,3
cicip,3
cinta,3
cintamu,3
ciptaan,3
cita rasa,3
cium,3
congrats,3
cover,3
cucu Adam,3
cuti,3
dadak,3
dagel,3
dagelan,3
daim,3
dakaik,3
dakwa,3
dalam,3
dalang,3
dambaan,3
dansa,3
datar,3
daya pikir,3
daya upaya,3
debat,3
debuk,3
dedengkot,3
deduksi,3
definisi,3
degap,3
delusi,3
demen,3
denda,3
dengar pendapat,3
dengerin,3
dependen,3
deposito,3
derauan,3
determinasi,3
dewana,3
diamond,3
dibayar,3
didik,3
dihati,3
dikara,3
dikonfirmasi,3
dikte,3
dinamika,3
direktur,3
disayang,3
disiplin,3
diskaun,3
dispensasi,3
distribusi,3
dobrak,3
dodor,3
doktrin,3
dol,3
dominan,3
dominasi,3
donatur,3
dongeng,3
donor,3
drama ria,3
duga,3
efek,3
eja,3
eka,3
ekonomis,3
eksemplar,3
eksplisit,3
ekspres,3
ekstensif,3
ekstra,3
ekstremis,3
elektromotif,3
elu,3
emong,3
empuk,3
endus,3
endut-endut,3
energi,3
enjoy,3
esa,3
eviden,3
fadil,3
fair,3
faktitius,3
faktual,3
fanbase,3
fantasi,3
fatamorgana,3
fatanah,3
federasi,3
fiesta,3
figur,3
filsafat,3
final,3
fine,3
fitrah,3
fokus,3
formasi,3
foto,3
free,3
friends,3
gairah,3
gambir,3
gamblang,3
ganduh,3
ganti,3
gapai,3
gapaian,3
garda,3
gari,3
gatra,3
gemi,3
genius,3
gentas,3
gerha,3
gigil,3
giliran,3
girang,3
girik,3
girik-girik,3
gobek,3
gol,3
gombrang,3
gombroh,3
gombrong,3
grahita,3
great,3
guar,3
gubahan,3
gubris,3
guntang-guntang,3
guru,3
gurufavorit,3
habis,3
hai,3
haloo,3
hamba Allah,3
hamparan,3
handai,3
hantu,3
harap,3
harga,3
harga diri,3
harmonis,3
harmonisasi,3
hasan,3
hasil,3
hayat,3
hebring,3
hias,3
hiasan,3
hii,3
hijau,3
hikmat,3
hilang,3
hipotetis,3
hoki,3
hukum,3
hulubalang,3
hutan,3
ibunda,3
idam,3
idaman,3
ideal,3
ijtihad,3
ikat janji,3
ikhtiar,3
ikut serta,3
ilusi,3
imaji,3
iman,3
imitasi,3
impian,3
impulsif,3
indah,3
inferensi,3
infinit,3
ingatan,3
inisiator,3
inkorporasi,3
insentif,3
instingtif,3
intan,3
integrasi,3
intelektual,3
intensi,3
interaksi,3
interpretasi,3
interupsi,3
intuitif,3
isbat,3
isi perut,3
itihad,3
jabar,3
jagalah,3
jago,3
jagoan,3
jajak,3
jala,3
jalan buka,3
jalan keluar,3
jalan tengah,3
jalan terbuka,3
jamhur,3
jamik,3
jangka,3
jarak,3
jaring,3
jaringan,3
jaswadi,3
jatah,3
jawab,3
jawaban,3
jawara,3
jebakan,3
jelak,3
jelang,3
jentelmen,3
jidur,3
jigrah,3
jihad,3
jilbab,3
jodoh,3
jreng,3
juang,3
julat,3
jumpa muka,3
kadang,3
kadang-kadang,3
kaget,3
kagum,3
kakek,3
kalong,3
kamil,3
kampanye,3
kangen,3
kapabilitas,3
kapasitas,3
karsa,3
karya,3
karyawan,3
kasual,3
keahlian,3
kebijakan,3
kecong,3
kedalaman,3
kedodoran,3
kedoyanan,3
kegiatan,3
kegilaan,3
kegirangan,3
kehadiran,3
keikutsertaan,3
kejadian,3
kejuruan,3
kejut,3
kejutan,3
kekal,3
kekekalan,3
kekerabatan,3
kekhususan,3
kekuatan,3
kekuatan batin,3
kelahiran,3
kelapangan,3
kelar,3
kelelawar,3
kelepasan,3
kelilipan,3
kelonggaran,3
keluang,3
keluangan,3
keluaran,3
keluasan,3
kelucuan,3
kemangkakan,3
kemas,3
kembang,3
kembang-kempis,3
kemudahan,3
kemudi,3
kemufakatan,3
kemunculan,3
ken,3
kenal,3
kenang,3
kenang-kenangan,3
kenangan,3
kencan,3
kencang,3
kenyang,3
kepatuhan,3
kepelesiran,3
kepercayaan,3
kepleset,3
kepuasan,3
kerabat,3
keriaan,3
kerja keras,3
kerjasama,3
kerukunan,3
kes,3
kesepakatan,3
keseruan,3
kesetiaan,3
kesimpulan,3
kesukacitaan,3
kesuma,3
ketaatan,3
ketajaman,3
ketapak,3
keteguhan batin,3
keteguhan hati,3
ketertiban,3
ketetapan hati,3
ketibaan,3
khalas,3
khuluk,3
khusyuk,3
kiat,3
kicau,3
kicu,3
kilat,3
kincang,3
kincung,3
kini,3
kiprah,3
kisas,3
klasik,3
komedi,3
komisi,3
kompetensi,3
komplet,3
konfirmasi,3
konfirmasikan,3
konfirmasinya,3
konklusi,3
konkret,3
konsensus,3
konseptual,3
konsolidasi,3
konstruktif,3
konsultasi,3
kontan,3
kontemporer,3
kontributor,3
kreasi,3
kredibel,3
kuasa,3
kuat batin,3
kunci,3
kunjung,3
kunjungi,3
kunyah,3
kupon,3
kusa,3
labuh,3
labuhan,3
laden,3
lahir,3
lajnah,3
lakeri,3
lalu,3
lam,3
lambuk,3
lancarkan,3
lancung,3
langkah kanan,3
langsung,3
lantik,3
lantip,3
lapang,3
lapangan,3
lapisan,3
latih,3
layak,3
layanan,3
lebar,3
lebuk,3
lebun,3
lembuk,3
lepek,3
libur,3
liburan,3
lihat,3
limbukan,3
lingkungan,3
linuhung,3
liputan,3
live,3
longgar,3
longo,3
luas,3
lucu,3
luk,3
lunch,3
lurus hati,3
maen,3
mafhum,3
mahdi,3
majenun,3
majubersama,3
makanan,3
makbul,3
makhluk,3
maklum,3
maksimal,3
maksud,3
malayari,3
malim,3
manfaatnya,3
manggala,3
manusia,3
mapan,3
margrit,3
masa kini,3
masakan,3
masjid,3
maskapai,3
maslahat,3
masygul,3
mekar,3
meladeni,3
melahirkan,3
melakonkan,3
melalui,3
melancarkan,3
melantik,3
melantunkan,3
melarikan,3
melayani,3
meledos,3
melendeh,3
melengkapi,3
melewati,3
melihat,3
melilit,3
melintangi,3
melintas (rimba),3
melisankan,3
meloloskan,3
melongo,3
melontarkan,3
meluluskan,3
meluncurkan,3
memafhumi,3
memahami,3
memaklumi,3
memalu,3
memandu,3
memanjang,3
memartil,3
membenarkan,3
membimbingmu,3
membimbit,3
membingkas,3
memburu,3
memerikan,3
meminati,3
meminta (kpd Tuhan),3
memintasi,3
mempercantik,3
memperelok,3
memperindah,3
memperkuat,3
mempersolek,3
memprediksi,3
mempromosikan,3
memuai,3
memudahkan,3
memuluskan,3
memunculkan,3
menakjubkan,3
menaksir,3
menambah,3
menanggapi,3
menangkap,3
menarik hati,3
menaruh hati,3
menating,3
mencari akal,3
mencari jalan,3
menceritakan,3
mencerna,3
mencintai,3
mendalam,3
mendandankan,3
mendapat,3
mendengungkan,3
menderaikan,3
mendeteksi,3
mendidik,3
mendikte,3
menduga,3
menebak,3
menebarkan,3
menelurkan,3
menelusuri,3
menembusi,3
menempuh (hidup),3
menentu,3
menerima,3
menerka,3
menetap,3
mengadunkan,3
mengalami,3
mengalunkan,3
menganggap,3
menganggar,3
mengantisipasi,3
menganugerahi,3
mengarahkan,3
mengarifi,3
mengasosiasikan,3
mengatakan,3
mengecamkan,3
mengeja,3
mengeloskan,3
mengenang,3
mengetuk,3
menggambari,3
mengganjari,3
menggemari,3
menggemburkan melambuk,3
menghadiahkan,3
mengherankan,3
menghikayatkan,3
menghimpunkan,3
mengikuti,3
mengiler,3
mengimbas,3
mengimbasi,3
mengimbuhi,3
mengingatkan,3
menginsafi,3
mengipasi,3
mengira-ngira,3
mengizinkan,3
mengononkan,3
mengucapkan,3
mengumaikan,3
mengumpulkan,3
mengumumkan,3
mengutarakan,3
menjalani,3
menjelajah,3
menjelajahi,3
menjelang,3
menokok,3
menuntun,3
menuturkan,3
menyampaikan,3
menyanyikan,3
menyeberangi,3
menyebut,3
menyegarkan,3
menyelami,3
menyempurnakan,3
menyerempakkan,3
menyerikati,3
menyesali,3
menyingsing,3
menyuarakan,3
menyusuri,3
merah jambu,3
merah muda,3
merakit,3
meramalkan,3
merawikan,3
meremas-remas,3
merencanakan,3
merentangkan,3
merenung,3
merespon,3
merger,3
meriah,3
merilis,3
meriwayatkan,3
mewarisi,3
mewisuda,3
meyakinkan,3
mikroanalisis,3
minta kpd tuhan,3
moblong,3
model,3
modern,3
momentum,3
monggo,3
monopoli,3
montok,3
moratorium,3
motivasi,3
mufaham,3
mukhlis,3
mukibat,3
muktabar,3
mullah,3
mungil,3
murah,3
murid,3
musara,3
muslim,3
mustahil,3
mustaid,3
mutu,3
muwafakat,3
nafkah,3
naik ke pelamin,3
naik ke pelaminan,3
natur,3
ngasih,3
ngopi,3
nikmat,3
nikmati,3
nuftah,3
nuri,3
nyali besar,3
nyana,3
nyanyi,3
oportunitas,3
orde,3
ordo,3
organisasi,3
orientasi,3
orisinal,3
otak,3
otentik,3
otomatis,3
pacaran,3
pagon,3
pandai bicara,3
pandu,3
panglima,3
panitia,3
panorama,3
pantat,3
pantulan,3
paparan,3
paradigma,3
partisipasi,3
pas,3
pasti,3
pastikan,3
pati,3
pegawai,3
pejatian,3
pekerja,3
pekerjaan,3
pelarasan,3
pelatih,3
pelayanan,3
peleburan,3
pelesapan,3
pelihara,3
pemair,3
pembiasaan,3
pembimbing,3
pemenang,3
pemilik,3
pemilikan,3
pemuaian,3
pemuja,3
penabung,3
penahan,3
penali,3
penandasan,3
penangguhan,3
penanti,3
pencatat,3
pencatatan,3
pencedok,3
pendaftaran,3
pendahuluan,3
pendataan,3
pendekar,3
penderma,3
pendidik,3
penegasan,3
penentuan,3
pengajar,3
pengalasan,3
pengandaian,3
pengaruh,3
pengasuh,3
pengembangan,3
pengembangannya,3
pengen,3
pengertian,3
penggabungan,3
pengganti,3
penggede,3
pengharmonisan,3
penghayatan,3
penghimpunan,3
penghuni,3
penguasaan,3
pengukur,3
pengumpulan,3
pengurus,3
penjelasan,3
penongkat,3
penting,3
penumpil,3
penundukan,3
penunggu,3
penunjang,3
penyatuan,3
penyelarasan,3
penyempurnaan,3
penyerasian,3
penyerobotan,3
penyesuaian,3
penyimpan,3
penyokong,3
perai,3
peran serta,3
perangsang,3
perbaikan,3
pere,3
peresapan,3
perhimpunan,3
peri,3
perian,3
perincian,3
perjuangin,3
perkiraan,3
perkolasi,3
perkumpulan,3
perlup,3
permadani,3
permanen,3
permata,3
